xflr5 v6.57,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
.plane,,,,,,,,,,,,,,,
T1-17.0 m/s-Panel,,,,,,,,,,,,,,,
QInf  =,17,m/s,,,,,,,,,,,,,
Alpha = ,3,,,,,,,,,,,,,,
Beta  = ,   0.000°,,,,,,,,,,,,,,
Phi   = ,   0.000°,,,,,,,,,,,,,,
Ctrl  = ,0,,,,,,,,,,,,,,
CL    = ,0.887273,,,,,,,,,,,,,,
Cy    = ,0,,,,,,,,,,,,,,
Cd=,0.06138,ICd=,0.048965,PCd=,0.012415,,,,,,,,,,
137,   3.321e-01,-8.45E-01,   4.558e-03,-0.145,0.009,-0.989,   3.834e-04,0.3166,,,,,,,
138,   3.135e-01,-8.45E-01,   6.379e-03,-0.061,0.005,-0.998,   5.086e-04,0.2891,,,,,,,
139,   2.898e-01,-8.45E-01,   7.097e-03,-0.005,0.003,-1,   6.138e-04,0.2457,,,,,,,
140,   2.623e-01,-8.45E-01,   6.535e-03,0.043,0.001,-0.999,   6.938e-04,0.2021,,,,,,,
141,   2.321e-01,-8.45E-01,   4.602e-03,0.083,0,-0.997,   7.447e-04,0.1526,,,,,,,
142,   2.006e-01,-8.45E-01,   1.543e-03,0.109,-0.001,-0.994,   7.633e-04,0.0929,,,,,,,
143,   1.690e-01,-8.45E-01,-2.12E-03,0.121,-0.001,-0.993,   7.477e-04,0.0192,,,,,,,
144,   1.388e-01,-8.45E-01,-5.66E-03,0.112,-0.001,-0.994,   6.975e-04,-0.074,,,,,,,
145,   1.113e-01,-8.45E-01,-8.20E-03,0.07,-0.001,-0.998,   6.153e-04,-0.1701,,,,,,,
146,   8.766e-02,-8.45E-01,-9.11E-03,0,-0.003,-1,   5.077e-04,-0.2372,,,,,,,
147,   6.900e-02,-8.45E-01,-8.39E-03,-0.089,-0.006,-0.996,   3.809e-04,-0.2855,,,,,,,
148,   5.608e-02,-8.45E-01,-6.42E-03,-0.246,-0.011,-0.969,   2.419e-04,-0.4928,,,,,,,
149,   4.948e-02,-8.45E-01,-2.81E-03,-0.816,-0.033,-0.577,   1.374e-04,0.3083,,,,,,,
150,   4.948e-02,-8.45E-01,   4.436e-03,-0.946,-0.038,0.323,   2.453e-04,0.9108,,,,,,,
151,   5.608e-02,-8.45E-01,   1.467e-02,-0.735,-0.031,0.678,   3.460e-04,0.0831,,,,,,,
152,   6.900e-02,-8.45E-01,   2.468e-02,-0.504,-0.024,0.863,   4.395e-04,-0.5953,,,,,,,
153,   8.766e-02,-8.45E-01,   3.287e-02,-0.313,-0.019,0.949,   5.347e-04,-0.8649,,,,,,,
154,   1.113e-01,-8.45E-01,   3.847e-02,-0.158,-0.015,0.987,   6.218e-04,-0.8972,,,,,,,
155,   1.388e-01,-8.45E-01,   4.100e-02,-0.031,-0.014,0.999,   6.935e-04,-0.7963,,,,,,,
156,   1.690e-01,-8.45E-01,   4.055e-02,0.058,-0.013,0.998,   7.435e-04,-0.6463,,,,,,,
157,   2.006e-01,-8.45E-01,   3.765e-02,0.123,-0.013,0.992,   7.646e-04,-0.5123,,,,,,,
158,   2.321e-01,-8.45E-01,   3.295e-02,0.172,-0.014,0.985,   7.534e-04,-0.4058,,,,,,,
159,   2.623e-01,-8.45E-01,   2.709e-02,0.21,-0.015,0.978,   7.090e-04,-0.326,,,,,,,
160,   2.898e-01,-8.45E-01,   2.074e-02,0.242,-0.016,0.97,   6.327e-04,-0.272,,,,,,,
161,   3.135e-01,-8.45E-01,   1.448e-02,0.273,-0.017,0.962,   5.278e-04,-0.2449,,,,,,,
162,   3.321e-01,-8.45E-01,   8.763e-03,0.319,-0.02,0.948,   4.003e-04,-0.2295,,,,,,,
163,   3.450e-01,-8.45E-01,   3.841e-03,0.413,-0.025,0.91,   2.575e-04,-0.0553,,,,,,,
164,   3.516e-01,-8.45E-01,   8.022e-04,0.433,-0.026,0.901,   8.802e-05,0.0641,,,,,,,
Strip 6,,,,,,,,,,,,,,,
165,   3.532e-01,-8.19E-01,   5.185e-04,-0.294,0.018,-0.956,   1.004e-04,0.3209,,,,,,,
166,   3.465e-01,-8.19E-01,   2.228e-03,-0.233,0.014,-0.972,   2.917e-04,0.3373,,,,,,,
167,   3.335e-01,-8.19E-01,   4.597e-03,-0.145,0.009,-0.989,   4.639e-04,0.3559,,,,,,,
168,   3.147e-01,-8.19E-01,   6.433e-03,-0.061,0.005,-0.998,   6.154e-04,0.3316,,,,,,,
169,   2.909e-01,-8.19E-01,   7.158e-03,-0.005,0.003,-1,   7.427e-04,0.29,,,,,,,
170,   2.631e-01,-8.19E-01,   6.591e-03,0.043,0.001,-0.999,   8.394e-04,0.2444,,,,,,,
171,   2.327e-01,-8.19E-01,   4.641e-03,0.083,0,-0.997,   9.011e-04,0.1898,,,,,,,
172,   2.008e-01,-8.19E-01,   1.556e-03,0.109,-0.001,-0.994,   9.235e-04,0.1231,,,,,,,
173,   1.690e-01,-8.19E-01,-2.13E-03,0.121,-0.001,-0.993,   9.046e-04,0.0417,,,,,,,
174,   1.385e-01,-8.19E-01,-5.71E-03,0.112,-0.001,-0.994,   8.439e-04,-0.058,,,,,,,
175,   1.108e-01,-8.19E-01,-8.27E-03,0.07,-0.001,-0.998,   7.445e-04,-0.1577,,,,,,,
176,   8.696e-02,-8.19E-01,-9.18E-03,0,-0.003,-1,   6.143e-04,-0.2236,,,,,,,
177,   6.813e-02,-8.19E-01,-8.46E-03,-0.089,-0.006,-0.996,   4.609e-04,-0.2651,,,,,,,
178,   5.511e-02,-8.19E-01,-6.47E-03,-0.246,-0.011,-0.969,   2.927e-04,-0.4551,,,,,,,
179,   4.845e-02,-8.19E-01,-2.83E-03,-0.816,-0.033,-0.577,   1.662e-04,0.3428,,,,,,,
180,   4.845e-02,-8.19E-01,   4.474e-03,-0.946,-0.038,0.323,   2.968e-04,0.9042,,,,,,,
181,   5.511e-02,-8.19E-01,   1.479e-02,-0.735,-0.031,0.678,   4.187e-04,0.0518,,,,,,,
182,   6.813e-02,-8.19E-01,   2.489e-02,-0.504,-0.024,0.863,   5.317e-04,-0.6498,,,,,,,
183,   8.696e-02,-8.19E-01,   3.315e-02,-0.313,-0.019,0.949,   6.470e-04,-0.9387,,,,,,,
184,   1.108e-01,-8.19E-01,   3.880e-02,-0.158,-0.015,0.987,   7.523e-04,-0.9818,,,,,,,
185,   1.385e-01,-8.19E-01,   4.135e-02,-0.031,-0.014,0.999,   8.391e-04,-0.8805,,,,,,,
186,   1.690e-01,-8.19E-01,   4.089e-02,0.058,-0.013,0.998,   8.996e-04,-0.7212,,,,,,,
187,   2.008e-01,-8.19E-01,   3.797e-02,0.123,-0.013,0.992,   9.251e-04,-0.5741,,,,,,,
188,   2.327e-01,-8.19E-01,   3.323e-02,0.172,-0.014,0.985,   9.116e-04,-0.4529,,,,,,,
189,   2.631e-01,-8.19E-01,   2.732e-02,0.21,-0.015,0.978,   8.579e-04,-0.3578,,,,,,,
190,   2.909e-01,-8.19E-01,   2.091e-02,0.242,-0.016,0.97,   7.655e-04,-0.2879,,,,,,,
191,   3.147e-01,-8.19E-01,   1.461e-02,0.273,-0.017,0.962,   6.387e-04,-0.244,,,,,,,
192,   3.335e-01,-8.19E-01,   8.838e-03,0.319,-0.02,0.948,   4.844e-04,-0.2097,,,,,,,
193,   3.465e-01,-8.19E-01,   3.874e-03,0.413,-0.025,0.91,   3.116e-04,-0.0126,,,,,,,
194,   3.532e-01,-8.19E-01,   8.090e-04,0.433,-0.026,0.901,   1.065e-04,0.1188,,,,,,,
Strip 7,,,,,,,,,,,,,,,
195,   3.550e-01,-7.88E-01,   5.237e-04,-0.294,0.018,-0.956,   1.172e-04,0.3418,,,,,,,
196,   3.483e-01,-7.88E-01,   2.250e-03,-0.233,0.014,-0.972,   3.404e-04,0.3589,,,,,,,
197,   3.351e-01,-7.88E-01,   4.642e-03,-0.145,0.009,-0.989,   5.414e-04,0.3788,,,,,,,
198,   3.161e-01,-7.88E-01,   6.498e-03,-0.061,0.005,-0.998,   7.182e-04,0.3568,,,,,,,
199,   2.921e-01,-7.88E-01,   7.229e-03,-0.005,0.003,-1,   8.667e-04,0.318,,,,,,,
200,   2.641e-01,-7.88E-01,   6.657e-03,0.043,0.001,-0.999,   9.796e-04,0.2734,,,,,,,
201,   2.333e-01,-7.88E-01,   4.688e-03,0.083,0,-0.997,   1.052e-03,0.2176,,,,,,,
202,   2.011e-01,-7.88E-01,   1.572e-03,0.109,-0.001,-0.994,   1.078e-03,0.148,,,,,,,
203,   1.690e-01,-7.88E-01,-2.16E-03,0.121,-0.001,-0.993,   1.056e-03,0.063,,,,,,,
204,   1.382e-01,-7.88E-01,-5.77E-03,0.112,-0.001,-0.994,   9.849e-04,-0.0395,,,,,,,
205,   1.102e-01,-7.88E-01,-8.36E-03,0.07,-0.001,-0.998,   8.688e-04,-0.1399,,,,,,,
206,   8.613e-02,-7.88E-01,-9.28E-03,0,-0.003,-1,   7.169e-04,-0.2033,,,,,,,
207,   6.712e-02,-7.88E-01,-8.55E-03,-0.089,-0.006,-0.996,   5.378e-04,-0.238,,,,,,,
208,   5.396e-02,-7.88E-01,-6.54E-03,-0.246,-0.011,-0.969,   3.416e-04,-0.4076,,,,,,,
209,   4.723e-02,-7.88E-01,-2.86E-03,-0.816,-0.033,-0.577,   1.940e-04,0.3851,,,,,,,
210,   4.723e-02,-7.88E-01,   4.518e-03,-0.946,-0.038,0.323,   3.464e-04,0.8906,,,,,,,
211,   5.396e-02,-7.88E-01,   1.494e-02,-0.735,-0.031,0.678,   4.886e-04,0.0133,,,,,,,
212,   6.712e-02,-7.88E-01,   2.514e-02,-0.504,-0.024,0.863,   6.205e-04,-0.7033,,,,,,,
213,   8.613e-02,-7.88E-01,   3.348e-02,-0.313,-0.019,0.949,   7.550e-04,-1.0031,,,,,,,
214,   1.102e-01,-7.88E-01,   3.919e-02,-0.158,-0.015,0.987,   8.779e-04,-1.053,,,,,,,
215,   1.382e-01,-7.88E-01,   4.177e-02,-0.031,-0.014,0.999,   9.793e-04,-0.9517,,,,,,,
216,   1.690e-01,-7.88E-01,   4.130e-02,0.058,-0.013,0.998,   1.050e-03,-0.7864,,,,,,,
217,   2.011e-01,-7.88E-01,   3.835e-02,0.123,-0.013,0.992,   1.080e-03,-0.63,,,,,,,
218,   2.333e-01,-7.88E-01,   3.356e-02,0.172,-0.014,0.985,   1.064e-03,-0.4978,,,,,,,
219,   2.641e-01,-7.88E-01,   2.760e-02,0.21,-0.015,0.978,   1.001e-03,-0.3907,,,,,,,
220,   2.921e-01,-7.88E-01,   2.112e-02,0.242,-0.016,0.97,   8.934e-04,-0.3083,,,,,,,
221,   3.161e-01,-7.88E-01,   1.475e-02,0.273,-0.017,0.962,   7.453e-04,-0.2515,,,,,,,
222,   3.351e-01,-7.88E-01,   8.926e-03,0.319,-0.02,0.948,   5.653e-04,-0.2038,,,,,,,
223,   3.483e-01,-7.88E-01,   3.913e-03,0.413,-0.025,0.91,   3.636e-04,0.0082,,,,,,,
224,   3.550e-01,-7.88E-01,   8.171e-04,0.433,-0.026,0.901,   1.243e-04,0.1477,,,,,,,
Strip 8,,,,,,,,,,,,,,,
225,   3.571e-01,-7.53E-01,   5.296e-04,-0.294,0.018,-0.956,   1.332e-04,0.3544,,,,,,,
226,   3.503e-01,-7.53E-01,   2.276e-03,-0.233,0.014,-0.972,   3.868e-04,0.3721,,,,,,,
227,   3.370e-01,-7.53E-01,   4.695e-03,-0.145,0.009,-0.989,   6.151e-04,0.393,,,,,,,
228,   3.178e-01,-7.53E-01,   6.571e-03,-0.061,0.005,-0.998,   8.161e-04,0.3728,,,,,,,
229,   2.935e-01,-7.53E-01,   7.311e-03,-0.005,0.003,-1,   9.848e-04,0.3363,,,,,,,
230,   2.651e-01,-7.53E-01,   6.732e-03,0.043,0.001,-0.999,   1.113e-03,0.2934,,,,,,,
231,   2.340e-01,-7.53E-01,   4.740e-03,0.083,0,-0.997,   1.195e-03,0.2382,,,,,,,
232,   2.015e-01,-7.53E-01,   1.589e-03,0.109,-0.001,-0.994,   1.225e-03,0.1681,,,,,,,
233,   1.689e-01,-7.53E-01,-2.18E-03,0.121,-0.001,-0.993,   1.200e-03,0.0822,,,,,,,
234,   1.378e-01,-7.53E-01,-5.83E-03,0.112,-0.001,-0.994,   1.119e-03,-0.0206,,,,,,,
235,   1.095e-01,-7.53E-01,-8.45E-03,0.07,-0.001,-0.998,   9.872e-04,-0.1199,,,,,,,
236,   8.519e-02,-7.53E-01,-9.38E-03,0,-0.003,-1,   8.145e-04,-0.1803,,,,,,,
237,   6.596e-02,-7.53E-01,-8.64E-03,-0.089,-0.006,-0.996,   6.111e-04,-0.2082,,,,,,,
238,   5.266e-02,-7.53E-01,-6.61E-03,-0.246,-0.011,-0.969,   3.882e-04,-0.3561,,,,,,,
239,   4.585e-02,-7.53E-01,-2.89E-03,-0.816,-0.033,-0.577,   2.204e-04,0.43,,,,,,,
240,   4.585e-02,-7.53E-01,   4.569e-03,-0.946,-0.038,0.323,   3.936e-04,0.8728,,,,,,,
241,   5.266e-02,-7.53E-01,   1.511e-02,-0.735,-0.031,0.678,   5.552e-04,-0.0283,,,,,,,
242,   6.596e-02,-7.53E-01,   2.542e-02,-0.504,-0.024,0.863,   7.051e-04,-0.7549,,,,,,,
243,   8.519e-02,-7.53E-01,   3.386e-02,-0.313,-0.019,0.949,   8.579e-04,-1.06,,,,,,,
244,   1.095e-01,-7.53E-01,   3.963e-02,-0.158,-0.015,0.987,   9.975e-04,-1.113,,,,,,,
245,   1.378e-01,-7.53E-01,   4.223e-02,-0.031,-0.014,0.999,   1.113e-03,-1.0111,,,,,,,
246,   1.689e-01,-7.53E-01,   4.176e-02,0.058,-0.013,0.998,   1.193e-03,-0.8413,,,,,,,
247,   2.015e-01,-7.53E-01,   3.878e-02,0.123,-0.013,0.992,   1.227e-03,-0.6779,,,,,,,
248,   2.340e-01,-7.53E-01,   3.394e-02,0.172,-0.014,0.985,   1.209e-03,-0.5372,,,,,,,
249,   2.651e-01,-7.53E-01,   2.791e-02,0.21,-0.015,0.978,   1.138e-03,-0.4205,,,,,,,
250,   2.935e-01,-7.53E-01,   2.136e-02,0.242,-0.016,0.97,   1.015e-03,-0.328,,,,,,,
251,   3.178e-01,-7.53E-01,   1.492e-02,0.273,-0.017,0.962,   8.469e-04,-0.2612,,,,,,,
252,   3.370e-01,-7.53E-01,   9.026e-03,0.319,-0.02,0.948,   6.423e-04,-0.2037,,,,,,,
253,   3.503e-01,-7.53E-01,   3.957e-03,0.413,-0.025,0.91,   4.131e-04,0.0189,,,,,,,
254,   3.571e-01,-7.53E-01,   8.263e-04,0.433,-0.026,0.901,   1.412e-04,0.164,,,,,,,
Strip 9,,,,,,,,,,,,,,,
255,   3.594e-01,-7.14E-01,   5.361e-04,-0.294,0.018,-0.956,   1.482e-04,0.3623,,,,,,,
256,   3.525e-01,-7.14E-01,   2.304e-03,-0.233,0.014,-0.972,   4.304e-04,0.3806,,,,,,,
257,   3.391e-01,-7.14E-01,   4.753e-03,-0.145,0.009,-0.989,   6.844e-04,0.4023,,,,,,,
258,   3.196e-01,-7.14E-01,   6.652e-03,-0.061,0.005,-0.998,   9.080e-04,0.3834,,,,,,,
259,   2.950e-01,-7.14E-01,   7.401e-03,-0.005,0.003,-1,   1.096e-03,0.3487,,,,,,,
260,   2.663e-01,-7.14E-01,   6.815e-03,0.043,0.001,-0.999,   1.238e-03,0.3075,,,,,,,
261,   2.348e-01,-7.14E-01,   4.799e-03,0.083,0,-0.997,   1.329e-03,0.2536,,,,,,,
262,   2.019e-01,-7.14E-01,   1.609e-03,0.109,-0.001,-0.994,   1.362e-03,0.1843,,,,,,,
263,   1.689e-01,-7.14E-01,-2.21E-03,0.121,-0.001,-0.993,   1.335e-03,0.0989,,,,,,,
264,   1.374e-01,-7.14E-01,-5.90E-03,0.112,-0.001,-0.994,   1.245e-03,-0.0029,,,,,,,
265,   1.088e-01,-7.14E-01,-8.55E-03,0.07,-0.001,-0.998,   1.098e-03,-0.1002,,,,,,,
266,   8.414e-02,-7.14E-01,-9.50E-03,0,-0.003,-1,   9.062e-04,-0.1572,,,,,,,
267,   6.468e-02,-7.14E-01,-8.75E-03,-0.089,-0.006,-0.996,   6.799e-04,-0.1783,,,,,,,
268,   5.121e-02,-7.14E-01,-6.69E-03,-0.246,-0.011,-0.969,   4.319e-04,-0.3049,,,,,,,
269,   4.432e-02,-7.14E-01,-2.93E-03,-0.816,-0.033,-0.577,   2.452e-04,0.4736,,,,,,,
270,   4.432e-02,-7.14E-01,   4.625e-03,-0.946,-0.038,0.323,   4.379e-04,0.8527,,,,,,,
271,   5.121e-02,-7.14E-01,   1.530e-02,-0.735,-0.031,0.678,   6.177e-04,-0.0702,,,,,,,
272,   6.468e-02,-7.14E-01,   2.574e-02,-0.504,-0.024,0.863,   7.845e-04,-0.8035,,,,,,,
273,   8.414e-02,-7.14E-01,   3.428e-02,-0.313,-0.019,0.949,   9.545e-04,-1.1106,,,,,,,
274,   1.088e-01,-7.14E-01,   4.012e-02,-0.158,-0.015,0.987,   1.110e-03,-1.1641,,,,,,,
275,   1.374e-01,-7.14E-01,   4.276e-02,-0.031,-0.014,0.999,   1.238e-03,-1.0606,,,,,,,
276,   1.689e-01,-7.14E-01,   4.228e-02,0.058,-0.013,0.998,   1.327e-03,-0.8868,,,,,,,
277,   2.019e-01,-7.14E-01,   3.926e-02,0.123,-0.013,0.992,   1.365e-03,-0.7177,,,,,,,
278,   2.348e-01,-7.14E-01,   3.436e-02,0.172,-0.014,0.985,   1.345e-03,-0.5701,,,,,,,
279,   2.663e-01,-7.14E-01,   2.825e-02,0.21,-0.015,0.978,   1.266e-03,-0.4457,,,,,,,
280,   2.950e-01,-7.14E-01,   2.162e-02,0.242,-0.016,0.97,   1.129e-03,-0.3453,,,,,,,
281,   3.196e-01,-7.14E-01,   1.510e-02,0.273,-0.017,0.962,   9.422e-04,-0.2708,,,,,,,
282,   3.391e-01,-7.14E-01,   9.138e-03,0.319,-0.02,0.948,   7.146e-04,-0.206,,,,,,,
283,   3.525e-01,-7.14E-01,   4.006e-03,0.413,-0.025,0.91,   4.597e-04,0.0243,,,,,,,
284,   3.594e-01,-7.14E-01,   8.365e-04,0.433,-0.026,0.901,   1.571e-04,0.1736,,,,,,,
Strip 10,,,,,,,,,,,,,,,
285,   3.619e-01,-6.72E-01,   5.432e-04,-0.294,0.018,-0.956,   1.620e-04,0.3676,,,,,,,
286,   3.549e-01,-6.72E-01,   2.334e-03,-0.233,0.014,-0.972,   4.706e-04,0.3863,,,,,,,
287,   3.413e-01,-6.72E-01,   4.816e-03,-0.145,0.009,-0.989,   7.484e-04,0.4086,,,,,,,
288,   3.216e-01,-6.72E-01,   6.740e-03,-0.061,0.005,-0.998,   9.928e-04,0.3907,,,,,,,
289,   2.966e-01,-6.72E-01,   7.499e-03,-0.005,0.003,-1,   1.198e-03,0.3574,,,,,,,
290,   2.676e-01,-6.72E-01,   6.905e-03,0.043,0.001,-0.999,   1.354e-03,0.3177,,,,,,,
291,   2.357e-01,-6.72E-01,   4.863e-03,0.083,0,-0.997,   1.454e-03,0.2652,,,,,,,
292,   2.023e-01,-6.72E-01,   1.630e-03,0.109,-0.001,-0.994,   1.490e-03,0.1971,,,,,,,
293,   1.689e-01,-6.72E-01,-2.24E-03,0.121,-0.001,-0.993,   1.459e-03,0.113,,,,,,,
294,   1.370e-01,-6.72E-01,-5.98E-03,0.112,-0.001,-0.994,   1.361e-03,0.0128,,,,,,,
295,   1.079e-01,-6.72E-01,-8.67E-03,0.07,-0.001,-0.998,   1.201e-03,-0.0821,,,,,,,
296,   8.300e-02,-6.72E-01,-9.62E-03,0,-0.003,-1,   9.910e-04,-0.1356,,,,,,,
297,   6.328e-02,-6.72E-01,-8.87E-03,-0.089,-0.006,-0.996,   7.435e-04,-0.1504,,,,,,,
298,   4.963e-02,-6.72E-01,-6.78E-03,-0.246,-0.011,-0.969,   4.722e-04,-0.257,,,,,,,
299,   4.265e-02,-6.72E-01,-2.96E-03,-0.816,-0.033,-0.577,   2.682e-04,0.5136,,,,,,,
300,   4.265e-02,-6.72E-01,   4.687e-03,-0.946,-0.038,0.323,   4.789e-04,0.8319,,,,,,,
301,   4.963e-02,-6.72E-01,   1.550e-02,-0.735,-0.031,0.678,   6.754e-04,-0.1104,,,,,,,
302,   6.328e-02,-6.72E-01,   2.608e-02,-0.504,-0.024,0.863,   8.578e-04,-0.8482,,,,,,,
303,   8.300e-02,-6.72E-01,   3.473e-02,-0.313,-0.019,0.949,   1.044e-03,-1.1554,,,,,,,
304,   1.079e-01,-6.72E-01,   4.065e-02,-0.158,-0.015,0.987,   1.214e-03,-1.208,,,,,,,
305,   1.370e-01,-6.72E-01,   4.332e-02,-0.031,-0.014,0.999,   1.354e-03,-1.102,,,,,,,
306,   1.689e-01,-6.72E-01,   4.284e-02,0.058,-0.013,0.998,   1.451e-03,-0.924,,,,,,,
307,   2.023e-01,-6.72E-01,   3.978e-02,0.123,-0.013,0.992,   1.492e-03,-0.75,,,,,,,
308,   2.357e-01,-6.72E-01,   3.482e-02,0.172,-0.014,0.985,   1.471e-03,-0.5969,,,,,,,
309,   2.676e-01,-6.72E-01,   2.863e-02,0.21,-0.015,0.978,   1.384e-03,-0.4666,,,,,,,
310,   2.966e-01,-6.72E-01,   2.191e-02,0.242,-0.016,0.97,   1.235e-03,-0.3598,,,,,,,
311,   3.216e-01,-6.72E-01,   1.530e-02,0.273,-0.017,0.962,   1.030e-03,-0.2794,,,,,,,
312,   3.413e-01,-6.72E-01,   9.259e-03,0.319,-0.02,0.948,   7.814e-04,-0.209,,,,,,,
313,   3.549e-01,-6.72E-01,   4.059e-03,0.413,-0.025,0.91,   5.026e-04,0.0271,,,,,,,
314,   3.619e-01,-6.72E-01,   8.476e-04,0.433,-0.026,0.901,   1.718e-04,0.1795,,,,,,,
Strip 11,,,,,,,,,,,,,,,
315,   3.646e-01,-6.27E-01,   5.509e-04,-0.294,0.018,-0.956,   1.745e-04,0.3712,,,,,,,
316,   3.575e-01,-6.27E-01,   2.367e-03,-0.233,0.014,-0.972,   5.070e-04,0.3903,,,,,,,
317,   3.437e-01,-6.27E-01,   4.883e-03,-0.145,0.009,-0.989,   8.062e-04,0.4132,,,,,,,
318,   3.237e-01,-6.27E-01,   6.835e-03,-0.061,0.005,-0.998,   1.070e-03,0.3961,,,,,,,
319,   2.984e-01,-6.27E-01,   7.604e-03,-0.005,0.003,-1,   1.291e-03,0.3638,,,,,,,
320,   2.689e-01,-6.27E-01,   7.002e-03,0.043,0.001,-0.999,   1.459e-03,0.3252,,,,,,,
321,   2.366e-01,-6.27E-01,   4.931e-03,0.083,0,-0.997,   1.566e-03,0.2739,,,,,,,
322,   2.027e-01,-6.27E-01,   1.653e-03,0.109,-0.001,-0.994,   1.605e-03,0.2071,,,,,,,
323,   1.689e-01,-6.27E-01,-2.27E-03,0.121,-0.001,-0.993,   1.572e-03,0.1244,,,,,,,
324,   1.365e-01,-6.27E-01,-6.07E-03,0.112,-0.001,-0.994,   1.467e-03,0.0261,,,,,,,
325,   1.071e-01,-6.27E-01,-8.79E-03,0.07,-0.001,-0.998,   1.294e-03,-0.0662,,,,,,,
326,   8.178e-02,-6.27E-01,-9.76E-03,0,-0.003,-1,   1.068e-03,-0.1164,,,,,,,
327,   6.178e-02,-6.27E-01,-8.99E-03,-0.089,-0.006,-0.996,   8.010e-04,-0.1254,,,,,,,
328,   4.794e-02,-6.27E-01,-6.88E-03,-0.246,-0.011,-0.969,   5.087e-04,-0.2141,,,,,,,
329,   4.087e-02,-6.27E-01,-3.01E-03,-0.816,-0.033,-0.577,   2.889e-04,0.5488,,,,,,,
330,   4.087e-02,-6.27E-01,   4.753e-03,-0.946,-0.038,0.323,   5.159e-04,0.8114,,,,,,,
331,   4.794e-02,-6.27E-01,   1.572e-02,-0.735,-0.031,0.678,   7.276e-04,-0.1478,,,,,,,
332,   6.178e-02,-6.27E-01,   2.645e-02,-0.504,-0.024,0.863,   9.241e-04,-0.889,,,,,,,
333,   8.178e-02,-6.27E-01,   3.522e-02,-0.313,-0.019,0.949,   1.124e-03,-1.1952,,,,,,,
334,   1.071e-01,-6.27E-01,   4.122e-02,-0.158,-0.015,0.987,   1.307e-03,-1.2456,,,,,,,
335,   1.365e-01,-6.27E-01,   4.393e-02,-0.031,-0.014,0.999,   1.458e-03,-1.1366,,,,,,,
336,   1.689e-01,-6.27E-01,   4.344e-02,0.058,-0.013,0.998,   1.563e-03,-0.9546,,,,,,,
337,   2.027e-01,-6.27E-01,   4.034e-02,0.123,-0.013,0.992,   1.608e-03,-0.7762,,,,,,,
338,   2.366e-01,-6.27E-01,   3.530e-02,0.172,-0.014,0.985,   1.584e-03,-0.6185,,,,,,,
339,   2.689e-01,-6.27E-01,   2.903e-02,0.21,-0.015,0.978,   1.491e-03,-0.4835,,,,,,,
340,   2.984e-01,-6.27E-01,   2.222e-02,0.242,-0.016,0.97,   1.330e-03,-0.3721,,,,,,,
341,   3.237e-01,-6.27E-01,   1.552e-02,0.273,-0.017,0.962,   1.110e-03,-0.2868,,,,,,,
342,   3.437e-01,-6.27E-01,   9.389e-03,0.319,-0.02,0.948,   8.418e-04,-0.212,,,,,,,
343,   3.575e-01,-6.27E-01,   4.116e-03,0.413,-0.025,0.91,   5.415e-04,0.0285,,,,,,,
344,   3.646e-01,-6.27E-01,   8.595e-04,0.433,-0.026,0.901,   1.851e-04,0.1833,,,,,,,
Strip 12,,,,,,,,,,,,,,,
345,   3.674e-01,-5.79E-01,   5.589e-04,-0.294,0.018,-0.956,   1.855e-04,0.3738,,,,,,,
346,   3.603e-01,-5.79E-01,   2.402e-03,-0.233,0.014,-0.972,   5.390e-04,0.3932,,,,,,,
347,   3.462e-01,-5.79E-01,   4.954e-03,-0.145,0.009,-0.989,   8.571e-04,0.4167,,,,,,,
348,   3.259e-01,-5.79E-01,   6.934e-03,-0.061,0.005,-0.998,   1.137e-03,0.4002,,,,,,,
349,   3.003e-01,-5.79E-01,   7.715e-03,-0.005,0.003,-1,   1.372e-03,0.3686,,,,,,,
350,   2.704e-01,-5.79E-01,   7.104e-03,0.043,0.001,-0.999,   1.551e-03,0.3307,,,,,,,
351,   2.376e-01,-5.79E-01,   5.003e-03,0.083,0,-0.997,   1.665e-03,0.2804,,,,,,,
352,   2.032e-01,-5.79E-01,   1.677e-03,0.109,-0.001,-0.994,   1.706e-03,0.2147,,,,,,,
353,   1.689e-01,-5.79E-01,-2.30E-03,0.121,-0.001,-0.993,   1.671e-03,0.1335,,,,,,,
354,   1.361e-01,-5.79E-01,-6.15E-03,0.112,-0.001,-0.994,   1.559e-03,0.037,,,,,,,
355,   1.062e-01,-5.79E-01,-8.92E-03,0.07,-0.001,-0.998,   1.375e-03,-0.0534,,,,,,,
356,   8.050e-02,-5.79E-01,-9.90E-03,0,-0.003,-1,   1.135e-03,-0.1005,,,,,,,
357,   6.020e-02,-5.79E-01,-9.12E-03,-0.089,-0.006,-0.996,   8.515e-04,-0.1041,,,,,,,
358,   4.616e-02,-5.79E-01,-6.98E-03,-0.246,-0.011,-0.969,   5.408e-04,-0.1768,,,,,,,
359,   3.899e-02,-5.79E-01,-3.05E-03,-0.816,-0.033,-0.577,   3.071e-04,0.5788,,,,,,,
360,   3.899e-02,-5.79E-01,   4.822e-03,-0.946,-0.038,0.323,   5.484e-04,0.7922,,,,,,,
361,   4.616e-02,-5.79E-01,   1.595e-02,-0.735,-0.031,0.678,   7.735e-04,-0.1814,,,,,,,
362,   6.020e-02,-5.79E-01,   2.683e-02,-0.504,-0.024,0.863,   9.824e-04,-0.9254,,,,,,,
